餐厅名称,餐厅种类,所在地区,餐厅地址,点评数量,人均价格,评分
燚青春东北泥炉烤肉(大新店),烧烤,南头,南头街303号,68,￥77,四星商户
西湖春天(百汇店),江浙菜,笋岗,笋岗东路3019号百汇大厦1-2楼,1427,￥114,准五星商户
胡桃里音乐酒馆(华侨城店),川菜,华侨城,恩平街华侨城创意园北区B2栋首层,1922,￥105,四星商户
常回家(坂田店),粤菜,坂田,居里夫人大道与隆平路交口新天下工业城1楼1101,646,￥61,四星商户
桂小厨广西菜(金光华店),其他美食,国贸,人民南路2028号金光华广场6楼003C商铺,627,￥87,四星商户
和府捞面(卓悦intown店),小吃快餐,市中心区,福华三路卓悦INTOWN负一层B107号,348,￥45,四星商户
Poke-doke(万象天地店),西餐,科技园,深南大道9668号万象天地里巷NL259号商铺,471,￥74,四星商户
富苑皇冠假日套房酒店啤酒屋,自助餐,国贸,南湖路3018号富苑皇冠假日套房酒店三楼,212,￥162,四星商户
乐凯撒·榴莲比萨(福田COCO Park店),西餐,市中心区,福华三路269号星河COCOPARK商场L1层,2113,￥69,准五星商户
拉慕烘焙Lamour toast(购物公园店),面包甜点,市中心区,福华路购物公园负一楼B19莉莉玛莲楼下,226,￥20,准五星商户
点心传说·港式茶点·粤菜(来福士店),粤菜,南油,南海大道来福士2楼,758,￥82,四星商户
越南仔·精致越南菜(kkmall店),东南亚菜,KKMAll 京基100大厦,红宝路KKMALL京基百纳空间3楼L324铺,512,￥83,四星商户
稻香(皇庭广场店),粤菜,市中心区,福华三路118号皇庭广场B1层B1-8,1962,￥94,准四星商户
客家汇风味食府(海上世界店),粤菜,蛇口,太子路5号,1817,￥93,四星商户
胡桃里音乐酒馆(海上世界店),川菜,蛇口,望海路海上世界广场C区112号商铺,2249,￥118,四星商户
蒸汽时代原味海鲜公馆(香蜜湖店),海鲜,香蜜湖,红荔西路香蜜湖度假村老刘野生大鱼坊旁,940,￥169,四星商户
韩是汤饭专门店(海上世界店),韩国料理,蛇口,兴华路6-4号南海意库1栋105B,295,￥41,四星商户
芳记粉面饭糖水甜点,面包甜点,科技园,科技路大冲新城花园2栋2B座211铺,55,￥19,四星商户
京味张烤鸭店(龙岗店),其他美食,龙岗中心区,银威路与龙岗路交叉口旁,190,￥96,准五星商户
27FRUITS甘草水果(coco park店),面包甜点,市中心区,福华三路星河cocopark负一楼B1C-086A商铺,60,￥42,准五星商户
强记海鲜酒楼(汉京国际店),海鲜,南油,登良路23号汉京国际大厦2L,996,￥107,四星商户
春意铁板烧Spring Restaurant,日本料理,蛇口,广东省深圳市南山区南水步行街蛇口新街233号,96,￥71,准五星商户
椒王火锅(太古城店),火锅,南山区,工业八路与后海滨路交叉口宝能太古城北区负一层NB130-2,207,￥108,四星商户
大腕鳗(海岸城店),日本料理,南山中心区,海德二道海岸城西座2层214号铺,1507,￥68,准四星商户
紫霞门韩国料理,韩国料理,东门商业圈,深南东路2019号东乐大厦2楼,2440,￥122,四星商户
渝月(新城市广场店),川菜,荔枝公园片区,新城市广场首层LG-506号,2585,￥63,准五星商户
藏途家肴·墨脱石锅(万象城店),其他美食,宝安南路沿线,深南东路4117号,656,￥121,准五星商户
很忙鸡煲(海岸城天利店),粤菜,海岸城,海德二道海岸城旁边天利中央商务广场一期一楼114铺,861,￥63,四星商户
TheRaw原研觅食(皇庭广场店),西餐,市中心区,福华三路118号皇庭广场G层Z-2,339,￥51,四星商户
来到普宁肠粉,小吃快餐,东门商业圈,东门街道湖贝路1081号金色罗湖宾馆对面,1016,￥24,四星商户
一本烧鸟居酒屋,日本料理,车公庙,福田区泰然八路18号安华工业区八栋101,48,￥98,四星商户
呆呆虾(梅林奥士达店),小龙虾,梅林,梅华路与中康路交汇处,1019,￥139,四星商户
VEONES维星(东门店),面包甜点,东门商业圈,南庆街1号汇商名苑1-003,444,￥22,四星商户
新斗记,粤菜,荔枝公园片区,深南中路1095号T1新城市广场5楼502号商铺,3010,￥153,四星商户
大渔铁板烧(保利文化广场店),日本料理,海岸城,文心五路保利文化广场3层,2010,￥198,四星商户
鱼库•不仅是一家烤鱼店(连城新天地店),川菜,市中心区,会展中心连城新天地二期A05-07号商铺,796,￥89,四星商户
鸭掌门特色火锅,火锅,景田,景田路红荔西路交叉处鲁班大厦北侧星光广场2楼53-71号铺,1406,￥75,准五星商户
鹿港小镇(皇庭店),台湾菜,市中心区,皇庭国商购物广场L1层1、2号商铺,435,￥89,准四星商户
炙屋烧肉,日本料理,国贸,南湖路罗湖大酒店二楼,51,￥185,四星商户
云海肴云南菜(华强北九方购物中心店),其他美食,华强北,中航路1号九方购物中心B1层,5203,￥92,四星商户
本家韩国料理(泰然店),韩国料理,车公庙,车公庙泰然八路泰然大厦C座2楼,1078,￥129,四星商户
汕头潮满记粿面馆,小吃快餐,华强北,华发北路107栋1-8层一层,99,￥39,四星商户
一鱼居酒屋(常兴店),日本料理,南头,常兴路常兴广场1楼美食街内,482,￥82,准五星商户
稻亭日本料理(购物公园店),日本料理,市中心区,民田路购物公园北2楼206号,398,￥225,四星商户
井格重庆火锅(购物公园店),火锅,市中心区,中心二路购物公园北园3号电梯2楼,472,￥127,四星商户
大阪烧肉BAKA一代(福田店),日本料理,市中心区,福华路购物公园美食城2楼,65,￥255,四星商户
瑞吉酒店-Elba欧尔巴意大利餐厅(kk mall店),西餐,KKMAll 京基100大厦,深南东路5016号京基100大厦99楼,330,￥908,四星商户
吉兆火炙寿司●网红寿司店(中洲店),日本料理,海岸城,粤海街道海德一路88号中洲控股中信万豪酒店一层,229,￥91,四星商户
膳鼎卤鹅,粤菜,市中心区,连城新天地二期A06,1002,￥79,四星商户
都柏林二十三号(万象城店),西餐,宝安南路沿线,宝安南路1881号华润万象城二期S164号商铺,413,￥170,四星商户
凤凰楼能记食坊(天虹宝安店),粤菜,天虹汇一城,西乡大道与新湖路交汇处天虹2层,4032,￥83,四星商户
PINKY SIX,咖啡厅,西丽,信宜四路,216,￥74,四星商户
杏花堂山西菜馆(海岸城店),其他美食,海岸城,文心五路33号海岸城购物中心5层501-2A,735,￥77,四星商户
俏九州(万象天地店),湘菜,科技园,深南大道9668号万象天地B124,403,￥86,四星商户
鑫泰泰国料理(卓悦汇店),东南亚菜,梅林,上梅林中康路与梅林路交叉口东北角卓悦汇4层,823,￥110,四星商户
STARLEAF 星叶|南洋料理(益田假日广场店),东南亚菜,益田假日,深南大道9028号华侨城威尼斯酒店旁益田假日广场2层L2-32-35,2938,￥168,四星商户
夜郎国(保利城花园店),其他美食,南油,南海大道东保利城花园一楼B21-B22铺位,666,￥85,四星商户
大阪日本料理店(海燕店),日本料理,国贸,嘉宾路海燕大酒店负1楼,568,￥161,准五星商户
小肥羊(中兴路店),火锅,罗湖区政府,中兴路1号老昇逸酒店旁,1694,￥91,五星商户
Miss Cake Lovet 法式甜品,面包甜点,福田保税区,市花路21号,661,￥159,四星商户
一芳台湾水果茶(晒布店),面包甜点,东门商业圈,兴湖路东门中路2088号东门中心城一楼,52,￥18,四星商户
老大昌酒楼,江浙菜,华强北,深南中路福田大厦3019号,1104,￥124,四星商户
热辣生活(华强北店),小龙虾,华强北,茂业百货负一层B163,276,￥59,准五星商户
鑫泰泰国料理(kk mall店),东南亚菜,KKMAll 京基100大厦,深南东路5016号KKMALL京基百纳空间4层,4571,￥123,四星商户
望湘园(皇庭广场店),湘菜,市中心区,福华三路118号皇庭国商购物广场G层12号商铺,620,￥80,四星商户
花椒千签荟串串香·烧烤(南山店),火锅,南油,南商路73栋113-114商铺,757,￥93,准五星商户
Cafe All皆咖花园餐厅,西餐,华强北,华强北街道振兴路122号2层,194,￥85,四星商户
潮泰牛肉店(泰然七路店),火锅,车公庙,车公庙安华工业区7栋一楼,4904,￥71,四星商户
红须小馆,小龙虾,火车站,沿河南路汇泰大厦B座一楼1025-30铺,50,￥82,五星商户
Godiva(华润万象城店),面包甜点,宝安南路沿线,宝安南路1881号华润万象城一期中区B1层,334,￥64,准五星商户
一期一会居酒屋,日本料理,南油,南山区南山大道创业路98号,61,￥68,准五星商户
静颐茶馆,素菜,宝安南路沿线,宝安南路3038号金塘大厦7楼,1140,￥87,四星商户
TOKU拓谷日式料理餐吧,日本料理,科技园,学府路怡化金融科技大厦三楼302室,408,￥322,四星商户
堂小锅.日式锅物料理(KK Mall店),日本料理,KKMAll 京基100大厦,深南东路5016号KKMALL购物中心123C铺,2574,￥114,四星商户
荣粤酒家(南山店),粤菜,科技园,科苑路15号科兴科学园B栋,1224,￥134,四星商户
丼丼屋DONDONYA(九方购物中心店),日本料理,华强北,中航路1号九方购物中心B1层,1336,￥114,四星商户
十三羊蒙古羊排店(梅林店),西北菜,梅林,上梅林新村1栋梅村路29号,1901,￥83,准五星商户
掌门人陈氏香鹅掌(泰然四路店),川菜,车公庙,泰然科技园泰然四路204栋一楼C号铺,1411,￥84,四星商户
皖厨(海上世界店),其他美食,蛇口,海上世界船尾广场1栋207室,2244,￥96,四星商户
渝月(八卦岭店),川菜,八卦岭/园岭,八卦一路美食街七栋A6号,99,￥71,准五星商户
海极鲜蒸汽美食坊(南山店),海鲜,南油,东滨路3012号1号1楼,368,￥198,准五星商户
点心轩,粤菜,龙华,东环二路星河ｉＣＯ四楼,168,￥75,四星商户
Mr.ASIA象遇东南亚料理(笋岗店),东南亚菜,笋岗,笋岗街道桃园路8号HALO广场2层L2-2/L2-3商铺,424,￥118,准五星商户
成都老码头火锅,火锅,东门商业圈,东门南路1076号瑞鹏大厦一栋一楼,1315,￥152,准五星商户
深湖记·潮牛火锅(来福士广场店),火锅,南油,南海大道2163号来福士广场4层16/17,900,￥116,四星商户
凤凰楼能记食坊(马成时代广场店),粤菜,石厦,石厦北二街马成时代广场217,1654,￥94,四星商户
潮汕大目牛肉火锅城(皇岗旗舰店),火锅,皇岗,皇岗村市场北座1楼,1661,￥137,四星商户
缪氏川菜(沙井店),川菜,沙井,沙井新沙路万科翡丽郡二期三楼,1561,￥65,五星商户
将军府甜品,面包甜点,皇岗,水围1368国际街区北一街169号首层,62,￥25,准五星商户
论牛•鲜牛肉火锅(海雅店),火锅,新安,宝安海雅缤纷城5楼L510-8号商铺,94,￥97,准五星商户
Miss cake workshop,面包甜点,科技园,园西工业区25栋3段410,81,￥98,四星商户
极上萬膳日本料理(来福士店),日本料理,南油,南海大道2163号来福士广场一楼L1-16,93,￥268,准四星商户
九五牛新日式和牛火锅放题(深业上城店),日本料理,皇岗,皇岗路5001号深业上城L1层L135号,136,￥199,准四星商户
四季椰林椰子鸡(金光华店),火锅,国贸,人民南路2028号金光华广场7楼,528,￥108,四星商户
潮牛庄牛肉店·自家牛场更放心(九祥岭分店),火锅,西丽,西丽镇沙河西路九祥岭经纬大厦一楼4052号,210,￥92,准五星商户
汕头八合里海记牛肉店(欢乐海岸店),火锅,欢乐海岸,沙河街道白石路8号欢乐海岸区水湾13栋B区一楼,247,￥90,准四星商户
大渔铁板烧(卓悦汇店),日本料理,梅林,上梅林中康路与梅林路交叉口东北角卓悦汇3层,568,￥204,四星商户
鱼库•不仅是一家烤鱼店(科技园讯美店),川菜,科技园,科技园讯美科技广场3号楼裙楼一层2号商铺（麦当劳直进100米）,137,￥59,四星商户
旺角海鲜菜馆(建设店),粤菜,国贸,建设路友谊大厦1098-3号,124,￥227,准五星商户
君悦酒店-1881中餐厅,其他美食,宝安南路沿线,宝安南路1881号君悦酒店1楼,611,￥370,四星商户
36 MATCHART•招牌抹茶千层(皇庭广场店),面包甜点,市中心区,福华三路118号皇庭广场2层星巴克旁边,1144,￥49,四星商户
民煮料理·Man Can Cook,日本料理,西丽,沙河西路健兴科技大厦A座1楼,86,￥113,准五星商户
汕头八合里海记牛肉店(万科里店),火锅,龙岗中心区,龙城街道中心城龙翔大道龙城万科里二层L2-35-37,329,￥82,四星商户
巴迪奥餐吧,西餐,观澜,观澜街道办高尔夫大道1号观澜湖乡村俱乐部,398,￥128,准五星商户
石板街(海雅缤纷城店),创意菜,宝安区,建安一路99号海雅缤纷城购物中心1层,412,￥85,四星商户
渔语鱼•酸菜鱼专门店(万科广场店),川菜,龙岗中心区,龙翔大道7118号万科广场L4-01号,658,￥86,四星商户
Godiva(COCOPark店),面包甜点,市中心区,福华三路星河COCOPark购物公园B1层,474,￥53,准五星商户
一芳台湾水果茶(华新店),面包甜点,华强北,红荔路华新地铁站A1出口方向时尚MEGO商城旺角美食城C区正佳电影院,502,￥20,四星商户
重庆渝味晓宇火锅(香蜜湖旗舰店),火锅,香蜜湖,深南大道香蜜湖度假村西面南侧2-A,947,￥137,四星商户
云海肴云南菜(梅林卓悦汇店),其他美食,梅林,上梅林路交汇处卓悦汇购物中心负一层B1-01号,1624,￥81,四星商户
森记潮州砂锅粥(大梅沙店),粤菜,大小梅沙,大梅沙彩陶路115号,1095,￥74,四星商户
四大金刚小龙虾,小龙虾,新洲,新洲三街锦洲综合楼1楼104,63,￥123,四星商户
乐凯撒·榴莲比萨(欢乐颂购物中心店),西餐,南头,南新路3030号欢乐颂购物中心1层西广场,509,￥71,五星商户
無邪日式抹茶甜品(海岸城店),面包甜点,海岸城,文心6路潮流广场OKmall2楼13号,1062,￥46,四星商户
同仁四季音乐主题餐厅(宝安壹方城店),火锅,宝安中心区,新湖路与创业一路交汇处壹方城B1-073/073A号商铺,541,￥107,准四星商户
堂小锅锅物研究所(华强北九方店),日本料理,华强北,华富路九方购物中心北区2层L270,2017,￥123,准四星商户
凯宾斯基酒店四季餐厅(后海滨路店),自助餐,海岸城,后海滨路海德三道凯宾斯基酒店2楼,1647,￥234,四星商户
花椒遇见辣椒·冰川水麻辣火锅(喜荟城店),火锅,水库,太宁路8号喜荟城3层,1415,￥126,准五星商户
天鹅堡香舍会,西餐,华侨城,香山中街天鹅堡,121,￥271,四星商户
忆卜奎齐齐哈尔烤肉(民治店),烧烤,民治,民春路1980特区宝山工业区8栋102,58,￥86,四星商户
木屋烧烤(东门一店),烧烤,东门商业圈,新园路1号深圳戏院中海商城大厦负一层FY001号03铺位,292,￥80,准四星商户
园闰椰子鸡(西丽总店),火锅,西丽,西丽同沙路新围村中泰楼一楼,1771,￥97,四星商户
柠檬鱼·掌门人(园岭店),火锅,八卦岭/园岭,园岭街道红岭中路2061号园岭花园南国大厦1栋花园裙楼一层1012室,1227,￥78,四星商户
怂猫寿司·用心的人不怂,日本料理,火车站,南湖路置地逸轩裙楼A50,74,￥108,准五星商户
TheRaw原研觅食(华强北九方店),西餐,华强北,华强北九方购物中心3楼L348-349商铺,681,￥49,四星商户
海都酒家(宝安店),海鲜,宝安中心区,海秀路19号国际西岸商务大厦商业群楼3-5楼,350,￥116,四星商户
胜记(航天店),粤菜,市中心区,深南大道4019号航天大厦B座2楼,919,￥220,四星商户
花椒遇见辣椒·冰川水麻辣火锅(马成时代广场店),火锅,石厦,石厦北二街89号新港商城3楼307室,2890,￥111,准五星商户
千千桃串串火锅,火锅,东门商业圈,东门步行街东门印象城3楼,158,￥77,准五星商户
醉翁亭,其他美食,科技园,科苑路科兴科学园原味街A栋G层14号,1854,￥71,四星商户
找茶友Find My Tea(梅林店),面包甜点,梅林,梅林街道梅华路百兴苑1栋7号铺-梅华路44号,164,￥28,四星商户
8botea8波茶(保利店),面包甜点,海岸城,文心五路保利文化广场B区2楼-24内场,451,￥18,准五星商户
小摘堂茶(连城新天地店),面包甜点,市中心区,会展中心地铁站B出口连城新天地负一楼C09号,399,￥21,准四星商户
le'sa 乐享新味新加坡料理,东南亚菜,海雅缤纷城,宝民一路海雅缤纷城商业中心负一楼B100-6号商铺,316,￥67,四星商户
唐三脆火锅串烧,火锅,南头,南山大道2039-29号桃苑公寓北座,270,￥96,准五星商户
小草日式料理(海雅店),日本料理,新安,新圳西路23号（华润万家对面）,61,￥83,四星商户
渝海棠毛肚火锅,火锅,南头,金鸡路1-39号七巧国商业街,754,￥104,准五星商户
8090东北泥炉烤肉(南山店),烧烤,南头,南山区学府路154号,124,￥83,四星商户
Ciao Caro乔克拉精酿啤酒餐厅(KKONE店),西餐,上沙/下沙,滨河大道9289号京基滨河时代南区1层131,290,￥108,四星商户
两三事小郡肝串串香火锅(南山总店),火锅,南油,粤海街道南商路与龙城路交汇处龙城花园大厦龙珠阁102,605,￥99,准五星商户
新灯火烧烤,烧烤,荔枝公园片区,园岭三街趣园食街102号,253,￥113,准五星商户
枕咖啡,咖啡厅,南山区,桃源街道留仙大道眾創產業園B52棟107戶,113,￥62,四星商户
木屋烧烤(科技园店),烧烤,科技园,科技园科发路5-1号一层,322,￥79,四星商户
Pizza Marzano玛尚诺(宝安壹方城店),西餐,宝安中心区,新安街道新湖路99号壹方城L1-016-017,189,￥111,准五星商户
渝江记忆老重庆火锅(罗湖店),火锅,罗湖区政府,凤凰街hicity商场二楼04号,531,￥112,准五星商户
