餐厅名称,餐厅种类,所在地区,餐厅地址,点评数量,人均价格,评分
酒炙串烧料理·居酒屋(燕南店),日本料理,华强北,深圳燕南路92号,80,￥92,四星商户
海极鲜蒸汽美食坊(皇岗店),海鲜,皇岗,皇岗上围三村38号一层,898,￥203,准五星商户
蔓頭咖啡 mentor coffee,咖啡厅,宝安南路沿线,深南东路5018号深圳大剧院音乐厅,61,￥32,五星商户
四季椰林椰子鸡(南山京基百纳店),其他美食,白石洲,白石路与深湾二路交汇处南山京基百纳广场3层,1795,￥107,准五星商户
KYOKU日本料理(欢乐海岸店),日本料理,华侨城,白石路东8号欢乐海岸曲水湾17栋,697,￥459,准五星商户
钢管厂五区小郡肝串串香(车公庙店),火锅,车公庙,泰然六路苍松大厦一楼102-2号商铺,108,￥104,四星商户
臻品轩酒家,粤菜,市中心区,福华三路88号时代财富大厦4楼,3127,￥106,四星商户
桂小厨广西菜(九方购物中心店),其他美食,华强北,中航路1号九方购物中心B1层,1569,￥83,四星商户
顺意-顺德家乡菜,粤菜,市中心区,福华一路88号中心商务大厦三楼,971,￥123,四星商户
新麻蒲韩国料理店(南山店),韩国料理,海岸城,海德二道62号,1262,￥124,四星商户
王品牛排(宝安海雅缤纷城店),西餐,宝安中心区,建安一路99号海雅缤纷城购物中心5层536-1,981,￥428,准五星商户
朝馆· 烤鸭创意北京菜,其他美食,香蜜湖,侨香东路1011号,706,￥254,准五星商户
幸运牛（汕头）小黄牛火锅(新洲店),火锅,新洲,新洲中心村35号楼,202,￥79,准五星商户
Pizza Marzano玛尚诺(金光华店),西餐,国贸,人民南路2028号金光华广场L2层051号,484,￥127,四星商户
幸运牛（汕头）小黄牛火锅(梅林店),火锅,梅林,中康路上梅林地铁站G出口对面,1089,￥92,四星商户
LEAFTEA叶茶,面包甜点,市中心区,福田区兴融六路民田路171号,65,￥27,四星商户
老房子(水岸元年食府欢乐海岸店),川菜,欢乐海岸,白石路东14号欢乐海岸曲水湾A-1G,1614,￥129,四星商户
marspace coffee 火星咖啡,咖啡厅,华强北,深南中路世纪汇购物中心一层,133,￥47,四星商户
大良华记糖水,面包甜点,南油,阳光科创中心,153,￥23,四星商户
松阪屋炭火烧肉(东门店),日本料理,东门商业圈,东门中心城4楼,135,￥134,四星商户
洞庭轩(1979店),湘菜,香蜜湖,福田区香蜜湖1979文化生活新天地B区东门四楼,30,￥80,四星商户
香蜜轩(世界之窗店),粤菜,益田假日,世界之窗西侧欧风街文创空间1号楼,1388,￥165,准五星商户
大有利茶餐厅(福民店),茶餐厅,皇岗,福民路水围村316号1-2楼,1524,￥69,四星商户
一鱼居酒屋(桃园总店),日本料理,南头,桃园路62号常兴苑C2栋105,796,￥79,四星商户
大阪烧肉BAKA一代(蛇口店),日本料理,蛇口,海湾路19号湄南河PW体育小镇内,112,￥206,准五星商户
唐宫(万象天地店),粤菜,科技园,深南大道华润万象天地第L1层SL135号商铺,495,￥132,准四星商户
汉虾王·油焖大虾(福田中心城店),小龙虾,市中心区,福华一路怡景中心城G层,1018,￥157,四星商户
一叶一世界藏茶蔬食火锅(深圳香蜜湖店),素菜,香蜜湖,侨香东路1011号1979文化新天地B区2层210,680,￥113,准五星商户
香咖啡·自助餐(香格里拉大酒店),自助餐,火车站,建设路1002号深圳香格里拉大酒店2层,1334,￥237,四星商户
鲜咖啡·自助餐(福田香格里拉大酒店),自助餐,市中心区,益田路4088号香格里拉大酒店1楼,1742,￥308,四星商户
金谷1号海鲜酒楼,粤菜,车公庙,泰然六路深业泰然大厦E座2-3层,5243,￥97,四星商户
李师傅脆肚(东门南店),湘菜,火车站,东门南路1084号瑞鹏大厦1楼西,2110,￥79,准五星商户
大牛火锅(宝安雍和园店),火锅,宝安中心区,前进二路雍和园商业一楼A13-A20-1号商铺,44,￥90,准五星商户
探虾(香蜜湖店),小龙虾,香蜜湖,深南大道6068号香蜜湖度假村内,994,￥173,准五星商户
無邪日式抹茶甜品(龙岗旗舰店),面包甜点,龙岗中心区,龙城广场万科里2楼L2-25-26,359,￥45,准五星商户
三千·創作料理(金光华广场店),日本料理,国贸,人民南路2028号金光华广场6层,2708,￥282,四星商户
椰园四季椰子鸡火锅店,火锅,宝安中心区,宝安大道与裕安一路交汇处46区卡罗社区万科生活广场二楼8-9铺,1840,￥102,四星商户
信香嘴(上梅林店),粤菜,梅林,梅村路8号,232,￥86,四星商户
